,Dizi Linki,Dizi Adı,Tür,Uyarlama,Senarist,Yönetmen,Başrol,Besteci,Sezon sayısı,Bölüm sayısı,Yapımcı,Mekân,Görüntü yönetmeni,Gösterim süresi,Yapım şirketi,Kanal,Platform,Ses formatı,Yayın tarihi,Tarih,Youtube,Facebook,Twitter,Instagram,Durumu
12,https://tr.wikipedia.org//wiki/Ate%C5%9Ften_G%C3%BCnler,Ateşten Günler,"Dram,Aksiyon,Tarihî",Uyarlama Değil,Ziya Öztan,Ziya Öztan,"Zuhal Olcay,Ahmet Levendoğlu,Can Gürzap,Metin Belgin,Müşfik Kenter,Bahadır Tok,Cezmi Baskın",?,1.0,4,Altuğ Savaşal,İstanbul,?,45.0,TRT,TRT 1,?,?,1987,1987.0,0,0,0,0,Sona erdi
13,"https://tr.wikipedia.org//wiki/Yaprak_D%C3%B6k%C3%BCm%C3%BC_(dizi,_1988)",Yaprak Dökümü,Dram,Uyarlama Değil,?,Ayhan Önal,"Kerim Afşar,Tarık Tarcan",?,1.0,?,"Hilmi Akyalçın,TRT",İstanbul,?,45.0,?,TRT 1,?,?,1988,1988.0,0,0,0,0,Sona erdi
14,https://tr.wikipedia.org//wiki/U%C4%9Furlugiller,Uğurlugiller,Komedi,Uyarlama Değil,"İsmet Kür,Turgut Özakman,Ülker Köksal","Gürol Gökçe,Uğur Erkır,Aram Gülyüz","Yıldız Kenter,Şükran Güngör,Tevfik Gelenbe,Gül Onat,Mehmet Birkiye,Mübeccel Vardar,Ayhan Kavas,Mustafa Alabora,Savaş Dinçel",?,4.0,68,Uğur Erkır,İstanbul,?,25.0,STR,TRT 1,?,?,6 Temmuz 1988 - 28 Ocak 1991,1988.0,0,0,0,0,Sona erdi
15,https://tr.wikipedia.org//wiki/Kanun_Sava%C5%9F%C3%A7%C4%B1lar%C4%B1,Kanun Savaşçıları,"Aksiyon,Polisiye",Uyarlama Değil,Nuran Devres,Emin Gerçeker,"Serdar Gökhan,Eşref Kolçak,Özlem Savaş,Yusuf Sezgin,Savaş Akova,Orsel Sonat,Sermin Karaali,Perin Karaali,Tanju Şarman",?,1.0,234,Fide Motan,İstanbul,?,50.0,TRT,TRT 1,?,Stereo,1989 - 1989,1989.0,0,0,0,0,Sona erdi
16,https://tr.wikipedia.org//wiki/Gen%C3%A7ler_(dizi),Gençler,"Dram,Gençlik,Komedi",Uyarlama Değil,Sıtkı Tekmen,Adem Kılıç,"Ziya Kürküt,Fikret Kuşkan,Oktay Kaynarca,Bilge Parlak,Melike Altunbaran,Zeynep Özden Ayyıldız,Çetin Etili",?,1.0,?,?,İstanbul,?,50.0,TRT,TRT 1,?,?,1989 - 1990,1989.0,0,0,0,0,Sona erdi
17,https://tr.wikipedia.org//wiki/Samanyolu_(dizi),Samanyolu,Dram,Uyarlama Değil,Mehmet Aydın,Kartal Tibet,"Aydan Şener,Yaşar Alptekin,Tolga Savacı,Müşfik Kenter,Serpil Tamur,Arzu Atalay,Ülkü Duru",?,1.0,4,Kerem Çatay,İstanbul,?,50.0,Ay Yapım,TRT 1,?,?,1989 - 1989,1989.0,0,0,0,0,Sona erdi
18,https://tr.wikipedia.org//wiki/Bizimkiler_(dizi),Bizimkiler,Aile,Uyarlama Değil,Umur Bugay,"Yalçın Yelence,Erkavim Yıldırım,","Erdal Özyağcılar,Ayşe Kökçü,Atılay Uluışık,Ercan Yazgan,Mehmet Akan,Savaş Dinçel,Oktay Sözbir",?,15.0,459,"Bugay Yapım,Ar Ajans,","İstanbul,,,Kadıköy",?,50.0,?,"TRT 1,Star TV,Show TV",?,Stereo,7 Ocak 1989 - 27 Ekim 2002,1989.0,0,0,0,0,Sona erdi
19,https://tr.wikipedia.org//wiki/T%C3%BCrkmen_D%C3%BC%C4%9F%C3%BCn%C3%BC,Türkmen Düğünü,Dram,Uyarlama Değil,Adem Ayral,Adem Ayral,"Yılmaz Zafer,Ece Pirim,Nilgün Bubikoğlu,Zerrin Çaldıran,Asuman Arsan,Nevin Aypar,Atilla Ergün",?,1.0,3,Murat Akman,İstanbul,?,40.0,TRT,TRT 1,?,?,"25 Ekim 1989,(,1989-10-25,),[1],-,8 Kasım 1989,(,1989-11-08,),[2]",1989.0,0,0,0,0,Sona erdi
20,https://tr.wikipedia.org//wiki/Ba%C5%9Fka_Olur_A%C4%9Falar%C4%B1n_D%C3%BC%C4%9F%C3%BCn%C3%BC,Başka Olur Ağaların Düğünü,Dram,Uyarlama Değil,Kemal Bilbaşar,Fatih Arslan,"Mehmet Aslantuğ,Seren Serengil,Erol Taş,Nihat Nikerel,Selma Tarcan,Hüseyin Peyda,Hüseyin Baradan",?,1.0,5,?,İstanbul,?,40.0,TRT,TRT 1,?,?,1990,1990.0,0,0,0,0,Sona erdi
21,https://tr.wikipedia.org//wiki/Portatif_H%C3%BCseyin,Portatif Hüseyin,Komedi,Uyarlama Değil,"Murat Kürüz,Nezih Tuncay","Gül Erbil,Ümit Volkan","Nezih Tuncay,Orçun Sonat,Yasemin Koşat,Ali Yalaz,Hadi Çaman,Halit Akçatepe,Gönül Tuncay,Ayşegül Uygurer",?,2.0,66,?,İstanbul,Bülent Terzioğlu,40.0,"Star 1,HBB,","Star TV,HBB",?,Stereo,"17 Eylül 1991,(,1991-09-17,),-,9 Mart 1993,(,1993-03-09,)",1991.0,0,0,0,0,Sona erdi
22,https://tr.wikipedia.org//wiki/Umut_Taksi,Umut Taksi,Dram,Uyarlama Değil,Yılmaz Erdoğan,"Yusuf Kurçenli,Avni Kütükoğlu,","Dilaver Uyanık,Yılmaz Erdoğan,Ferdi Akarnur,Necati Bilgiç,Tayfun Çorağan,Nüvit Özdoğru,Ayla Algan",?,2.0,52,"Sami Günay,Hümmet Lale","İstanbul,,,Reşitpaşa, Sarıyer",?,30.0,?,TRT 1,?,Stereo,8 Nisan 1992 - 27 Ekim 1993,1992.0,0,0,0,0,Sona erdi
23,https://tr.wikipedia.org//wiki/Mahallenin_Muhtarlar%C4%B1,Mahallenin Muhtarları,Aile,Uyarlama Değil,Kandemir Konduk,"Oğuz Yalçın,Filiz Kaynak,Avni Kütükoğlu,Nursan Esenboğa","Aydan Burhan,Erkan Can,Cihat Tamer,Işık Aras,Goncagül Sunar,Esra Akkaya,Nedret Özbek,Leman Çıdamlı,Filiz Taçbaş",?,10.0,337,Hüseyin Apaydın,"Maltepe,,,İstanbul",?,45.0,Replik Yapım,"Kanal 6,atv,Kanal D,Star TV",?,Stereo,"5 Ekim 1992,(,1992-10-05,),-,18 Haziran 2002,(,2002-06-18,)",1992.0,0,0,0,0,Sona erdi
