,Tür,Uyarlama,Senarist,Yönetmen,Başrol,Besteci,Sezon sayısı,Bölüm sayısı,Yapımcı,Mekân,Görüntü yönetmeni,Gösterim süresi,Yapım şirketi,Kanal,Platform,Ses formatı,Yayın tarihi,Durumu,Youtube,Facebook,Twitter,Instagram
1388,Dram,?,"Onur Ünlü,(1-77),Funda Alp (1-77),Aziz Aydın,Serkan Birlik (78-115),Erkan Çıplak (78-88),Ertan Kurtulan (116-118, 120-155),Evrim Aytaş (116-118, 120-155),Ethem Özışık (116-118, 120-131, 141),Şafak Ersavaş (119),Hasan Başoğlu (132-140, 142-155)","Zeynep Tor,[1],U. Yağmur Yavuz,Naci Çelik Berksoy (-82),Cem Akyoldaş (83-100),Ahmet Sönmez (101-107),Gürsel Ateş (108-115),Metin Çamurcu (116-123),Hüdaverdi Yavuz (124-155)","Ümit Acar,(1-36),Oğuz Oktay,[1],(1-6),Zeynep Ece Akkoca,[1],(1-6),Yusuf Sezgin,(37-155)",?,4,"155 (,bölümleri listesi,)","Ömer Önder,(1-77),Mustafa Kartal (78-155)",?,?,90 dakika,Ser Film,Samanyolu TV,?,Stereo,"4 Ekim 2004,(,2004-10-04,),[1],[2],[3],-,27 Haziran 2008,(,2008-06-27,),[4],[5]",Sona erdi,0,0,0,0
1389,Drama,?,?,"Yüksel Aksu,Adnan Güler","Emrah,Sinem Öztufan",?,2,69,Faruk Turgut,Muğla,?,?,"Gold Film,[1]","atv,[2]",?,Stereo,"19 Kasım 2004,(,2004-11-19,),-,9 Haziran 2006,(,2006-06-09,)",Sona erdi,0,0,0,0
1390,"Sit-com,Komedi",?,Levent Demirkale,Cem Karcı,"Mehmet Ali Erbil,Melisa Sözen,Nilgün Belgün,İlkay Saran,Taner Ergör,Pamela Spence,Gökçe Akyıldız,Arda Esen,Sevinç Aktansel,Misak Toros,Kerem Altaylar","Uğur Akyürek,Ufuk Türk",1,9,Abdullah Oğuz,İstanbul,Aras Demiray,120 dakika,D Productions,"Kanal D,(2003)",?,Stereo,"11 Ağustos 2003,(,2003-08-11,),[1],-,28 Ekim 2003,(,2003-10-28,),[2]",Sona erdi,0,0,0,0
1391,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1392,Komedi,"Gırgıriye,(1981)",Resul Ertaş,"Serdar Akar,(1-6),Yaşar Seriner,(7-119)","Melek Baykal,Müjdat Gezen,Özkan Uğur,Alişan,Çağla Şıkel,Zeki Alasya",?,3,"119 (,bölümleri listesi,)",Türker İnanoğlu,İstanbul,Bülent Terzioğlu,80 dakika,Erler Film,Show TV,?,Stereo,"11 Haziran 2004,(,2004-06-11,),[1],[2],-,9 Haziran 2007,(,2007-06-09,),[3],[4],[5],[6],[7]",Sona erdi,0,0,0,0
1393,"Komedi,Romantik",?,Ali Can Yaraş,Bora Onur,"Okan Yalabık,Özlem Conker,Ahmet Mümtaz Taylan,Nergis Kumbasar,Suna Pekuysal,Bartu Küçükçağlayan,Melis Birkan,Nergis Kumbasar,Nilüfer Silsüpür,Burçin Üçüncüoğlu,Volga Sorgu,Zuhal Yalçın,Aslı Orcan,Süheyla Gözde Soley,Mustafa Uzunyılmaz,Seval İşgören,Güngör Varlı,Hasan Mullaoğlu",?,1,17,Ali Gündoğdu,İstanbul,?,90 dakika,Süreç Film,Show TV,?,Stereo,"7 Ekim 2005,(,2005-10-07,),[1],[2],[3],- 2006",Sona erdi,0,0,0,0
1394,"Dram,Politik",?,"Sertaç Ergin,Nihan Küçükural,Kerim Ceylan,Fikret Bekler,Çağan Irmak",Çağan Irmak,"Selda Alkor,Özge Özberk,Mehmet Ali Nuroğlu,Tuba Büyüküstün,Melisa Sözen,Suzan Aksoy,Şerif Sezer,Kenan Bal,Işıl Yücesoy",?,1,"40 (,bölümleri listesi,)","Şükrü Avşar,Bahadır Atay",İstanbul,?,75 dakika,Avşar Film,Kanal D,?,Stereo,3 Eylül 2004 - 1 Temmuz 2005,Sona erdi,0,0,0,0
1395,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1396,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1397,"Aile,Durum komedisi",?,"Birol Güven,Metin Açıkgöz,(2002-2012),Nilüfer Yenidoğan,(2002-2005),Özlem Aybek,(2002-2005),Müfit Can Saçıntı,(2010-2012),Caner Güler,(2010-2012)","Bora Tekay,(2010-2014, 2017-2019),Raşit Çelikezer,(2002-2005),Günay Köker,(2010-2012)","Tamer Karadağlı,Pınar Altuğ,Volkan Severcan,Zeyno Günenç,Öykü Güven,Alp Eren Khamis,Mehmet Baran Erdoğan,Buse Sinem İren,Eski başrol,Ayşecan Tatari,Furkan Kızılay,Özgür Ozan,Hayal Kahraman Özalp,Bengisu Özenel",?,9,"464 (,bölümleri listesi,)","Birol Güven,Süleyman Nebioğlu,(2002)","Darıca,,,Kocaeli,İstanbul",Altuğ Kasapbaşoğlu,120 dakika,"Protel Yapım,(2002),MinT Motion Pictures,(2002-2019)","TGRT,(2002),atv,(2002-2003, 2010-2012),Star TV,(2003-2005),FOX,(2013-2014),Kanal D,(2017-2019)",?,Stereo,16 Ocak 2002 - 11 Nisan 2019,Ara verdi,0,0,0,0
1398,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1399,"Aile,Komedi",?,Metin Açıkgöz,Raşit Çelikezer,"Ayşecan Tatari,Furkan Kızılay,Özgür Ozan,Zeyno Günenç,Ferdi Akarnur,Ayşen Tekin",?,1,26,Birol Güven,?,?,?,?,"Star TV,(2004-2005)",?,?,15 Eylül 2004 - 6 Mayıs 2005,Sona erdi,0,0,0,0
1400,"Komedi,Sit-com",?,Erol Hızarcı,"Fatih Aksoy,Ebru Yalçın,Yonca Güzelpınar","Gülben Ergen,Kenan Işık,Haldun Dormen,Seray Sever,Sinem Kobal,İlkay Saran,Yaşar Abravaya,Gökçe Uzuner,Tanju Tuncel,Ercan Süt,Alp Emre Kököz,Altuğ Yücel",Hasan Baran,3,61,Sibel Tuna,?,?,45 dakika,Medyapım,"Show TV,(2001),Star TV,(2002)",?,Stereo,5 Ocak 2001 - 28 Ekim 2002,Sona erdi.,0,0,0,0
