,Tarih,Dizi Adı,Dizi Adı Uzunluğu,Dizi Adındaki Kelime Sayısı,Dizi Adında Bağlaç,Dizi Adında Yer İsmi,Dizi Adında Özel İsim,Aile,Aksiyon,Aşk,Bilim Kurgu,Dram,Gençlik,Gerilim,Komedi,Polisiye,Romantik,Tarihî,TRT 1,Kanal D,atv,Star TV,Show TV,FOX,Samanyolu TV,TV8,in_turkey,out_turkey,book_to_movie,act_count,paid_channel,Publication Day,summer_series,duration,Ödüllü,Senaristlerin Dizi Sayısı,Ödüllü Senarist Sayısı,Senaristlerin Aldığı Ödül Sayısı,Başrollerin Dizi Sayısı,Ödüllü Başrol Sayısı,Başrollerin Aldığı Ödül Sayısı,Yönetmenlerin Dizi Sayısı,Ödüllü Yönetmen Sayısı,Yönetmenlerin Aldığı Ödül Sayısı,Görüntü Yönetmenlerinin Dizi Sayısı,Yapım Şirketleri Dizi Sayısı,Besteci Dizi Sayısı,on_youtube,on_facebook,on_twitter,on_instagram,total_sm_accounts,state
27,1993.0,Yaz Evi,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,?,-1,30.0,0,1.0,0,0.0,1.8571428571428568,0,0.0,1.5,0,0.0,-1.0,12.0,-1.0,0,0,0,0,0,Başarılı
28,1994.0,Gülşen Abi,10,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,Monday,0,30.0,0,1.0,0,0.0,1.2857142857142858,1,0.1428571428571428,2.0,0,0.0,1.0,-1.0,-1.0,0,0,0,0,0,Başarılı
29,1994.0,Gül ve Diken,12,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,0,Tuesday,0,45.0,0,2.0,0,0.0,1.8,0,0.0,2.0,0,0.0,1.0,1.0,-1.0,0,0,0,0,0,Başarısız
30,1994.0,Hüsnü Bey Amca,14,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,Sunday,0,25.0,0,2.0,0,0.0,1.8333333333333333,0,0.0,1.0,0,0.0,-1.0,13.0,-1.0,0,0,0,0,0,Kısmen Olgun
31,1994.0,Kaygısızlar,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,11,0,Tuesday,0,30.0,0,1.0,0,0.0,1.5454545454545454,0,0.0,2.0,0,0.0,1.0,1.0,1.0,1,1,1,1,4,Başarılı
32,1994.0,Bizim Mahalle,13,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,Saturday,0,70.0,0,1.0,0,0.0,1.2857142857142858,0,0.0,1.8,0,0.0,-1.0,14.0,-1.0,0,0,0,0,0,Kısmen Olgun
33,1994.0,Şehnaz Tango,12,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,Monday,0,70.0,0,1.0,0,0.0,2.0,2,1.0,1.2,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Başarılı
34,1994.0,Kurtuluş,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,0,Tuesday,0,70.0,0,2.0,0,0.0,1.5,0,0.0,3.0,0,0.0,1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
35,1995.0,Melek Apartmanı,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,?,-1,35.0,0,1.0,0,0.0,1.2,0,0.0,2.0,0,0.0,1.0,-1.0,1.0,0,0,0,0,0,Başarısız
36,1995.0,Çiçek Taksi,11,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5,0,Wednesday,0,45.0,0,1.3333333333333333,0,0.0,1.6,0,0.0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,Kısmen Olgun
37,1996.0,Bizim Ev,8,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Thursday,0,45.0,0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3333333333333333,-1.0,-1.0,0,0,0,0,0,Başarılı
38,1996.0,Gurbetçiler,11,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,?,-1,45.0,0,2.0,0,0.0,1.0,0,0.0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarılı
39,1996.0,Bizim Aile,10,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,?,-1,45.0,0,1.0,0,0.0,1.6,0,0.0,2.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
40,1996.0,Tatlı Kaçıklar,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,Wednesday,0,40.0,0,1.8,0,0.0,1.1666666666666667,1,0.0833333333333333,3.0,0,0.0,-1.0,2.0,-1.0,0,0,0,0,0,Kısmen Olgun
41,1996.0,Çılgın Bediş,12,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,0,Monday,1,40.0,1,1.0,0,0.0,1.25,0,0.0,0.8,0,0.0,1.0,-1.0,-1.0,1,0,0,0,1,Başarılı
42,1997.0,Bizim Kuruntu Ailesi,20,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,Sunday,0,45.0,0,2.0,0,0.0,1.8666666666666667,0,0.0,1.0,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Kısmen Başarılı
43,1997.0,Baba Evi,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,Friday,0,40.0,1,1.1666666666666667,0,0.0,1.2857142857142858,1,0.1428571428571428,1.8,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Başarılı
44,1997.0,Ayşecik,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,Friday,1,40.0,0,-1.0,0,0.0,1.0,0,0.0,2.5,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Kısmen Başarılı
45,1997.0,Canısı,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,0,Tuesday,0,40.0,0,1.0,0,0.0,1.0909090909090908,0,0.0,3.0,0,0.0,-1.0,1.0,-1.0,1,0,0,0,1,Başarısız
46,1997.0,Böyle mi Olacaktı,17,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,Friday,0,45.0,0,3.0,0,0.0,1.3333333333333333,1,0.3333333333333333,2.333333333333333,0,0.0,1.0,3.0,-1.0,0,0,0,0,0,Kısmen Olgun
47,1997.0,Kara Melek,10,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,0,Wednesday,0,45.0,1,-1.0,0,0.0,1.2142857142857142,1,0.0714285714285714,2.333333333333333,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Başarılı
48,1997.0,Küçük İbo,9,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,0,Saturday,0,45.0,0,1.0,0,0.0,0.9285714285714286,0,0.0,1.5,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarılı
49,1997.0,Örümcek,7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,Wednesday,0,55.0,0,2.0,0,0.0,1.0,0,0.0,2.0,0,0.0,1.0,1.0,2.0,0,0,0,0,0,Başarılı
50,1997.0,Sıdıka,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,Monday,0,60.0,0,1.0,0,0.0,1.0,1,0.25,1.5,0,0.0,1.0,1.0,-1.0,0,0,0,0,0,Başarılı
51,1998.0,Deli Yürek,10,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,7,0,Monday,0,60.0,0,1.5,0,0.0,1.0,1,0.1428571428571428,3.0,0,0.0,1.25,1.0,1.0,0,0,0,0,0,Başarılı
52,1998.0,Eltiler,7,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,Monday,0,40.0,0,-1.0,0,0.0,1.5,0,0.0,-1.0,0,0.0,-1.0,1.0,1.0,0,0,0,0,0,Kısmen Başarılı
53,1998.0,Marziye,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,?,-1,40.0,0,2.0,0,0.0,1.0,2,1.0,2.0,0,0.0,1.25,1.0,-1.0,0,0,0,0,0,Başarılı
54,1998.0,Ruhsar,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,Saturday,0,40.0,0,2.0,0,0.0,2.0,1,1.0,1.6666666666666667,0,0.0,-1.0,1.0,2.0,0,0,0,0,0,Kısmen Olgun
55,1998.0,Sırılsıklam,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,0,Tuesday,0,42.0,0,1.3333333333333333,0,0.0,1.5833333333333333,1,0.0833333333333333,5.0,0,0.0,-1.0,-1.0,1.0,0,0,0,0,0,Kısmen Başarılı
56,1998.0,İkinci Bahar,12,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0,Thursday,0,45.0,0,2.0,0,0.0,1.125,1,0.125,2.0,0,0.0,3.0,2.5,-1.0,0,0,0,0,0,Başarılı
57,1998.0,Üvey Baba,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,Thursday,0,45.0,0,1.0,0,0.0,1.0,0,0.0,2.0,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Kısmen Olgun
58,1998.0,Çarli,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,Monday,0,45.0,0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,-1.0,-1.0,0,0,0,0,0,Kısmen Başarılı
59,1998.0,Aynalı Tahir,12,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,Saturday,0,45.0,0,1.0,0,0.0,1.0,1,0.0909090909090909,1.25,0,0.0,1.1666666666666667,1.0,1.2,1,0,0,0,1,Kısmen Olgun
60,1999.0,Yılan Hikâyesi,14,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,Thursday,0,55.0,1,1.0,0,0.0,2.0,1,1.0,1.0,0,0.0,-1.0,2.0,-1.0,0,0,0,0,0,Başarılı
61,1999.0,Bücür Cadı,10,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,Tuesday,0,25.0,0,-1.0,0,0.0,1.25,0,0.0,1.5,0,0.0,1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
62,1999.0,Kıvılcım,8,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,0,Sunday,0,60.0,0,-1.0,0,0.0,1.4,0,0.0,1.0,0,0.0,2.0,2.0,-1.0,0,0,0,0,0,Kısmen Başarılı
63,1999.0,Ayrılsak da Beraberiz,21,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,7,0,Wednesday,0,60.0,0,1.0,0,0.0,1.1428571428571428,0,0.0,1.0,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Kısmen Olgun
64,1999.0,Küçük Besleme,13,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,Wednesday,0,60.0,0,1.0,0,0.0,2.0,0,0.0,3.0,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Başarılı
65,2000.0,Evdeki Yabancı,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,Friday,0,60.0,0,3.0,0,0.0,1.2,0,0.0,1.5,0,0.0,1.0,1.0,2.0,0,0,0,0,0,Kısmen Başarılı
66,2000.0,Hayat Bağları,13,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,?,-1,60.0,0,1.6666666666666667,0,0.0,1.2,0,0.0,2.5,1,0.5,1.3333333333333333,1.0,-1.0,0,0,0,0,0,Başarılı
67,2000.0,Bizim Evin Halleri,18,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,13,0,Monday,0,60.0,0,1.0,0,0.0,1.1538461538461535,0,0.0,1.0,0,0.0,-1.0,8.0,-1.0,0,0,0,0,0,Olgun
68,2000.0,Üzgünüm Leyla,13,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,Wednesday,0,60.0,0,1.0,0,0.0,1.8333333333333333,1,0.3333333333333333,3.5,0,0.0,1.6666666666666667,16.0,-1.0,0,0,0,0,0,Kısmen Başarılı
